,Pontos,FGM,FGA,Aproveitamento_Campo,Aproveitamento_3P,Aproveitamento_LT,Reb_Ofensivo,Reb_Defensivo,Assistências,Turnovers,Roubos,Bloqueios,Altura,Peso
C,-1.8346475512733824,0.4778948345340454,0.6986182442080838,0.4311303003848149,0.5305484900215821,0.1493290469323043,0.8004913894405691,0.8905552168205632,-0.5257304972050639,0.029151350366515866,-0.128299376600915,0.5845323012326766,3.056689590361438,2.6501073983823114
PF,-0.04958272544248459,-0.23384971113861927,0.24090666604034658,0.29918383967217704,0.04971426190505513,-0.08956662356882746,0.0717769117989457,0.06541461424537909,-0.4345839970280197,-0.11342916799441283,0.08055987891283346,0.2546256320391204,1.846920171931393,1.2773905647696624
PG,0.855005191107155,-0.18590602010111845,-0.5578430110366448,-0.8466069499499199,-0.20548545048646163,0.13678774227980453,-0.4278235716162358,-0.5491821960151139,1.4577850622153503,0.28953881028768186,-0.03876988726575555,-0.5489747381556679,-3.3417328216534994,-2.359796869130999
SF,0.41935408970272137,0.7182982540769787,-0.6698300489414463,-0.24285537173985972,0.07346664484249757,-0.250054238763364,-0.04589422810859973,0.0014405917934245283,-0.5509118220146559,-0.030555028403362768,0.14240470371615088,-0.06746550296020548,0.49301670893622074,0.030547230300289677
SG,0.6098709959059938,-0.7764373573712894,0.288148149729666,0.35914818163278683,-0.4482439462826748,0.05350407312008571,-0.39855050151468074,-0.40822822684425486,0.05344125403239453,-0.17470596425642018,-0.055895318762316355,-0.22271769215592274,-2.0548936495755448,-1.5982483243212675
