Pontos,FGM,FGA,Aproveitamento_Campo,Aproveitamento_3P,Aproveitamento_LT,Reb_Ofensivo,Reb_Defensivo,Assistências,Turnovers,Roubos,Bloqueios,Altura,Peso,Posicao,prediction_label,prediction_score,Acertou,Acertou_Texto
11.8,4.7,9.6,49.0,39.5,64.6,0.6,2.8,8.2,1.9,1.2,0.2,1.8288,91.62559,PG,PG,0.9235,True,Sim
21.7,8.7,14.3,60.9,33.3,100.0,1.2,2.5,3.1,1.9,1.2,0.6,2.0066,104.32616,SF,SF,0.5286,True,Sim
14.5,5.1,10.0,51.2,31.9,79.2,2.5,6.5,2.4,1.6,0.9,0.8,2.0828,122.46984,PF,C,0.7749,False,Não
14.7,4.9,12.4,39.9,38.5,83.1,0.6,4.0,4.8,2.4,1.2,0.5,2.032,90.7184,PG,SG,0.5806,False,Não
19.6,7.4,14.3,51.7,43.9,87.6,0.9,3.6,4.8,1.8,1.1,0.3,1.9304,91.17199,SG,SG,0.7195,True,Sim
16.1,5.4,12.4,43.6,42.2,77.8,1.4,5.4,1.1,1.0,1.9,0.6,1.9812,81.19297,SG,SG,0.5971,True,Sim
10.8,3.9,9.7,40.4,32.3,68.8,3.2,5.7,3.3,2.0,1.4,0.9,2.0066,97.52228,SF,PF,0.4801,False,Não
15.1,5.8,17.4,33.3,30.0,0.0,0.0,3.5,5.8,1.2,0.0,0.0,1.8542,88.45044,PG,PG,0.7216,True,Sim
30.0,10.4,21.6,48.3,36.4,86.5,0.8,4.1,6.1,3.0,1.6,0.3,1.8796,97.52228,SG,PG,0.5882,False,Não
8.6,3.9,9.0,43.5,16.7,25.0,3.7,4.7,2.5,1.6,1.8,1.0,2.032,111.13004,PF,PF,0.5938,True,Sim
8.9,3.4,6.7,50.4,39.6,60.8,1.9,3.4,1.3,0.8,1.3,0.7,2.0066,102.0582,SF,PF,0.5936,False,Não
7.1,2.6,7.7,33.3,27.0,88.9,2.0,3.4,2.1,1.3,0.9,0.3,2.0066,99.79024,PF,SG,0.4048,False,Não
13.8,5.1,12.2,41.7,33.3,67.9,0.7,2.9,5.0,2.6,1.6,1.3,2.0066,92.98636,SG,SG,0.6028,True,Sim
11.0,3.8,12.2,31.5,28.4,83.3,1.1,2.1,2.3,0.4,1.0,0.0,1.905,93.43995,SG,SG,0.8795,True,Sim
19.3,6.4,15.5,41.7,43.3,100.0,0.4,3.0,4.3,1.7,0.4,0.0,1.9558,97.52228,SG,SG,0.7146,True,Sim
14.7,5.5,11.5,47.3,35.4,71.7,1.3,2.6,3.6,1.5,1.2,0.1,1.8542,81.64656,SG,SG,0.7103,True,Sim
15.2,6.9,8.3,83.3,100.0,0.0,4.1,0.0,1.4,1.4,0.0,0.0,1.9558,104.32616,SF,PF,0.6395,False,Não
10.4,4.6,6.3,72.3,0.0,40.8,7.7,8.4,1.6,1.3,1.7,2.1,2.1336,108.86208,C,C,0.9998,True,Sim
